id,status_group,translate
69572,functional,0
8776,functional,0
34310,functional,0
67743,non functional,2
19728,functional,0
9944,functional,0
19816,non functional,2
54551,non functional,2
53934,non functional,2
46144,functional,0
49056,functional,0
50409,functional,0
36957,functional,0
50495,functional,0
53752,functional,0
61848,functional,0
48451,non functional,2
58155,non functional,2
34169,functional needs repair,1
18274,functional,0
48375,functional,0
6091,functional,0
58500,functional needs repair,1
37862,functional,0
51058,functional,0
22308,functional needs repair,1
55012,functional,0
20145,functional,0
19685,non functional,2
69124,functional,0
46804,functional,0
6696,functional,0
57238,functional needs repair,1
12402,functional,0
41583,functional,0
57355,non functional,2
67359,non functional,2
60048,functional,0
16583,functional,0
25,non functional,2
70238,functional,0
12796,functional,0
52019,functional,0
19282,non functional,2
1843,functional needs repair,1
12958,non functional,2
45111,functional needs repair,1
13620,functional,0
18864,functional,0
25182,functional,0
3228,functional,0
19308,non functional,2
10745,functional,0
32376,non functional,2
9417,functional,0
68724,non functional,2
74197,functional,0
22961,non functional,2
24593,functional,0
31714,functional needs repair,1
29952,functional,0
40393,non functional,2
2127,functional needs repair,1
8265,non functional,2
67433,functional,0
51072,non functional,2
34255,functional,0
22108,non functional,2
4720,non functional,2
54801,non functional,2
21990,non functional,2
17386,non functional,2
41609,non functional,2
35715,non functional,2
53970,functional,0
62971,non functional,2
63542,functional,0
15622,functional,0
12903,non functional,2
52561,functional,0
19415,functional,0
65531,functional needs repair,1
3675,functional,0
34383,functional,0
30423,non functional,2
68717,non functional,2
3688,functional,0
30537,non functional,2
27312,non functional,2
22143,functional needs repair,1
43237,functional needs repair,1
62591,non functional,2
39920,non functional,2
70892,functional,0
48593,non functional,2
26419,functional,0
68554,non functional,2
29083,functional,0
33379,functional needs repair,1
43206,non functional,2
41743,non functional,2
17970,functional,0
25693,functional,0
39364,functional needs repair,1
57580,functional,0
23000,functional,0
59902,functional,0
60371,non functional,2
74246,non functional,2
7116,functional,0
64063,non functional,2
59983,functional,0
10784,functional,0
49503,functional,0
54248,non functional,2
24409,non functional,2
21068,functional,0
62341,non functional,2
10837,functional,0
35458,non functional,2
36038,non functional,2
64447,functional,0
22897,non functional,2
2915,functional,0
14016,functional,0
69525,non functional,2
73061,functional,0
42031,functional,0
33235,non functional,2
41839,non functional,2
62002,functional,0
6106,functional,0
25915,functional,0
20673,functional,0
59475,functional,0
24012,functional,0
69107,non functional,2
64062,non functional,2
44002,functional,0
37471,functional,0
49585,non functional,2
60852,functional,0
64130,non functional,2
17687,functional,0
38876,non functional,2
28669,functional,0
73769,functional needs repair,1
66521,functional,0
53167,non functional,2
24232,functional,0
65788,functional,0
72981,functional,0
60983,non functional,2
37768,non functional,2
64880,functional,0
32871,non functional,2
45564,functional,0
23519,functional needs repair,1
50173,functional,0
66843,functional,0
13815,functional,0
36591,non functional,2
71845,functional,0
42180,functional,0
63632,functional,0
55594,functional,0
11787,functional,0
48528,non functional,2
72678,functional,0
50970,functional,0
37840,functional,0
44258,non functional,2
10715,functional,0
12120,functional,0
67980,non functional,2
41635,functional,0
14884,functional,0
56725,non functional,2
33037,functional,0
22190,non functional,2
47459,functional,0
68908,functional,0
62670,functional,0
60866,non functional,2
2136,functional,0
33320,functional,0
58126,non functional,2
45604,functional,0
67428,functional needs repair,1
52318,functional,0
33347,non functional,2
36684,functional,0
41034,functional,0
112,non functional,2
4807,functional,0
41845,functional,0
6065,functional,0
37187,non functional,2
26540,non functional,2
8879,functional needs repair,1
30377,functional,0
20203,non functional,2
8060,functional,0
59630,functional,0
10068,functional needs repair,1
34609,non functional,2
26701,functional,0
46897,functional,0
34636,non functional,2
52520,functional,0
75,non functional,2
31626,non functional,2
3181,non functional,2
43098,non functional,2
37008,functional needs repair,1
34853,non functional,2
48752,functional needs repair,1
31132,functional,0
37562,functional,0
28740,functional needs repair,1
30257,functional,0
53212,functional needs repair,1
40729,non functional,2
48695,functional,0
35140,non functional,2
46814,functional,0
7721,functional,0
63695,functional,0
7171,functional,0
58838,functional,0
61046,functional,0
68347,non functional,2
14746,functional needs repair,1
14952,non functional,2
64334,non functional,2
72374,non functional,2
33169,non functional,2
4907,functional needs repair,1
49994,functional needs repair,1
59588,non functional,2
46893,non functional,2
16944,non functional,2
35828,non functional,2
24377,non functional,2
51694,functional,0
70241,non functional,2
1780,functional,0
39490,functional,0
21704,functional,0
35193,non functional,2
24948,functional,0
6076,functional,0
18451,non functional,2
13042,functional needs repair,1
34877,functional,0
10891,non functional,2
33500,non functional,2
1012,non functional,2
4321,functional,0
41162,non functional,2
31957,non functional,2
15815,non functional,2
47462,non functional,2
28110,non functional,2
52448,functional,0
18832,non functional,2
62720,functional needs repair,1
14326,functional,0
36933,functional,0
65093,functional,0
50139,non functional,2
36455,non functional,2
49732,functional,0
20200,functional,0
43777,functional,0
42497,non functional,2
52601,functional,0
65530,non functional,2
73024,functional,0
18842,functional needs repair,1
9474,functional,0
44434,functional,0
36366,functional,0
47236,non functional,2
8633,functional needs repair,1
71487,functional,0
46268,non functional,2
36093,functional,0
2591,functional,0
69669,non functional,2
67377,non functional,2
51185,non functional,2
24049,functional,0
70835,functional,0
74176,functional,0
68037,functional,0
10992,non functional,2
45886,non functional,2
64793,non functional,2
40808,non functional,2
62565,functional,0
70379,functional,0
10089,functional,0
37364,non functional,2
43345,functional,0
39310,non functional,2
59713,functional,0
28945,functional needs repair,1
5074,functional needs repair,1
54009,non functional,2
35563,non functional,2
17668,non functional,2
30390,non functional,2
1298,non functional,2
2993,non functional,2
63712,non functional,2
61979,functional,0
39704,non functional,2
29191,non functional,2
35649,functional needs repair,1
15840,functional needs repair,1
45415,functional needs repair,1
8055,functional,0
51403,non functional,2
33963,functional,0
21669,non functional,2
7900,functional,0
337,functional,0
17861,functional,0
13195,non functional,2
54722,non functional,2
2845,functional,0
17111,functional,0
21338,functional,0
49326,functional,0
15358,functional,0
33040,non functional,2
40592,non functional,2
29513,functional,0
51163,functional,0
40920,functional,0
65101,functional,0
21127,non functional,2
67822,functional,0
14135,functional,0
10458,non functional,2
32089,functional,0
8230,non functional,2
43433,functional,0
62188,functional,0
19,functional,0
26577,functional,0
68887,functional needs repair,1
9382,functional,0
65238,functional needs repair,1
17897,functional needs repair,1
29744,non functional,2
23987,functional needs repair,1
26655,non functional,2
17978,functional,0
51558,non functional,2
48007,non functional,2
25534,functional,0
13969,functional,0
39548,non functional,2
25143,functional,0
25736,functional,0
17516,functional,0
66980,functional,0
45444,functional,0
59310,functional,0
59102,functional,0
61883,functional,0
93,functional,0
15988,non functional,2
19304,non functional,2
44092,functional,0
66242,functional needs repair,1
51611,functional needs repair,1
53847,functional,0
67634,functional,0
24757,functional needs repair,1
37524,functional,0
16341,functional,0
39176,functional,0
24836,functional,0
73470,non functional,2
11533,non functional,2
74217,functional,0
7007,functional,0
4101,functional,0
17041,non functional,2
38725,functional,0
39749,non functional,2
62642,non functional,2
49453,functional,0
63018,functional,0
65932,non functional,2
56863,non functional,2
23835,functional,0
34870,non functional,2
39915,functional,0
9736,functional,0
70019,non functional,2
20984,non functional,2
20132,functional,0
5963,functional,0
3740,functional,0
26943,functional needs repair,1
43742,functional,0
5784,non functional,2
42548,non functional,2
5121,non functional,2
57478,functional,0
58537,functional needs repair,1
